brand,model,fuel_type,price,size,Depreciation Rate,Carbon Tax,Buying Price,Profit,imported
Volkswagen,Golf R 20th Anniversary Edition,Gasoline,47999.0,8,0.8,200,38599.200000000004,9399.799999999996,1.0
Hyundai,Sonata Hybrid Limited,Hybrid,15900.0,9,0.65,120,10455.0,5445.0,0.0
Audi,RS 7 4.0T Prestige,Gasoline,45000.0,10,0.8,200,36200.0,8800.0,1.0
BMW,740 Li,Gasoline,18500.0,9,0.8,200,15000.0,3500.0,1.0
Mercedes-Benz,GLS 450 Base 4MATIC,Hybrid,80000.0,8,0.65,120,52120.0,27880.0,0.0
BMW,M6 Base,Gasoline,55000.0,8,0.8,200,44200.0,10800.0,1.0
Hyundai,Elantra N Base,Gasoline,34000.0,10,0.8,200,27400.0,6600.0,0.0
Kia,Niro Plug-In Hybrid EX Premium,Hybrid,31995.0,9,0.65,120,20916.75,11078.25,0.0
Aston,Martin DBS Superleggera,Gasoline,279950.0,8,0.8,200,224160.0,55790.0,0.0
Mercedes-Benz,SLC 300 Base,Gasoline,29900.0,10,0.8,200,24120.0,5780.0,0.0
BMW,435 Gran Coupe i,Gasoline,24950.0,9,0.8,200,20160.0,4790.0,0.0
Lexus,RC 350 Base,Gasoline,32900.0,9,0.8,200,26520.0,6380.0,0.0
BMW,525 i,Gasoline,8900.0,9,0.8,200,7320.0,1580.0,0.0
Toyota,Corolla LE,Gasoline,4995.0,10,0.8,200,4196.0,799.0,0.0
GMC,Acadia SLT-1,Gasoline,7900.0,8,0.8,200,6520.0,1380.0,1.0
BMW,i8 Base,Plug-In Hybrid,86000.0,8,0.95,50,81750.0,4250.0,0.0
Lexus,ES 300h Base,Hybrid,17995.0,9,0.65,120,11816.75,6178.25,0.0
Cadillac,CT5-V V-Series,Gasoline,55655.0,10,0.8,200,44724.0,10931.0,0.0
Chevrolet,Express 1500 Work Van,Gasoline,14500.0,10,0.8,200,11800.0,2700.0,0.0
Jeep,Gladiator Rubicon,Gasoline,47500.0,8,0.8,200,38200.0,9300.0,1.0
BMW,Z4 sDrive28i,Gasoline,27000.0,8,0.8,200,21800.0,5200.0,1.0
Land,Rover LR4 HSE LUX Landmark Edition,Gasoline,18000.0,9,0.8,200,14600.0,3400.0,0.0
Cadillac,XT4 Sport,Gasoline,28900.0,8,0.8,200,23320.0,5580.0,0.0
Bentley,Arnage R,Gasoline,47350.0,9,0.8,200,38080.0,9270.0,1.0
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,Gasoline,36500.0,9,0.8,200,29400.0,7100.0,0.0
RAM,ProMaster 3500 High Roof,Gasoline,32662.0,8,0.8,200,26329.600000000002,6332.399999999998,0.0
Ford,Utility Police Interceptor Base,E85 Flex Fuel,6600.0,10,0.7,150,4770.0,1830.0,0.0
Audi,A5 2.0T Premium,Gasoline,9995.0,10,0.8,200,8196.0,1799.0,0.0
Nissan,GT-R Premium,Gasoline,69500.0,8,0.8,200,55800.0,13700.0,0.0
Toyota,Corolla LE,Gasoline,9995.0,9,0.8,200,8196.0,1799.0,0.0
Porsche,Cayenne E-Hybrid S,Plug-In Hybrid,23000.0,9,0.95,50,21900.0,1100.0,0.0
Chevrolet,Express 1500 Work Van,E85 Flex Fuel,22495.0,10,0.7,150,15896.499999999998,6598.500000000002,1.0
INFINITI,Q70h Base,Hybrid,28998.0,9,0.65,120,18968.7,10029.3,0.0
BMW,650 Gran Coupe i xDrive,Gasoline,30000.0,10,0.8,200,24200.0,5800.0,1.0
Subaru,Forester Premium,Gasoline,27899.0,8,0.8,200,22519.2,5379.799999999999,1.0
Mercedes-Benz,AMG C AMG C 63,Gasoline,40000.0,10,0.8,200,32200.0,7800.0,0.0
Land,Rover LR3 HSE,Gasoline,9950.0,8,0.8,200,8160.0,1790.0,0.0
Ford,Transit Connect XLT,Gasoline,9888.0,9,0.8,200,8110.400000000001,1777.5999999999995,1.0
Lexus,LX 570 Three-Row,Gasoline,89999.0,9,0.8,200,72199.2,17799.800000000003,1.0
Dodge,Ram 2500 Laramie Quad Cab,Gasoline,12990.0,9,0.8,200,10592.0,2398.0,1.0
Nissan,Armada SL,Gasoline,36500.0,10,0.8,200,29400.0,7100.0,1.0
Porsche,Cayman Base,Gasoline,42999.0,10,0.8,200,34599.200000000004,8399.799999999996,0.0
Chevrolet,Monte Carlo SS,Gasoline,12000.0,8,0.8,200,9800.0,2200.0,0.0
BMW,M5 Base,Gasoline,32000.0,8,0.8,200,25800.0,6200.0,0.0
Hyundai,Kona N Base,Gasoline,34599.0,9,0.8,200,27879.2,6719.799999999999,0.0
Chevrolet,Monte Carlo SS,Gasoline,12500.0,10,0.8,200,10200.0,2300.0,1.0
Land,Rover Range Rover Evoque Pure,Gasoline,22800.0,8,0.8,200,18440.0,4360.0,1.0
Audi,S7 4.0T Premium Plus,Gasoline,39999.0,8,0.8,200,32199.2,7799.799999999999,0.0
GMC,Acadia SLT-1,Gasoline,7500.0,10,0.8,200,6200.0,1300.0,1.0
Alfa,Romeo Stelvio Ti Sport,Gasoline,35645.0,9,0.8,200,28716.0,6929.0,1.0
Ferrari,FF Base,Gasoline,149900.0,9,0.8,200,120120.0,29780.0,1.0
Kia,K900 5.0L,Gasoline,23950.0,8,0.8,200,19360.0,4590.0,1.0
Ford,E150 XLT,E85 Flex Fuel,12500.0,8,0.7,150,8900.0,3600.0,0.0
Subaru,Forester Base,Gasoline,24000.0,8,0.8,200,19400.0,4600.0,1.0
Porsche,Panamera 2,Gasoline,26000.0,10,0.8,200,21000.0,5000.0,0.0
Toyota,Tacoma PreRunner,Gasoline,8500.0,9,0.8,200,7000.0,1500.0,1.0
RAM,2500 Laramie,Diesel,65000.0,10,0.95,500,62250.0,2750.0,0.0
Kia,Sportage Nightfall,Gasoline,30990.0,9,0.8,200,24992.0,5998.0,0.0
Cadillac,DTS Base,Gasoline,10499.0,8,0.8,200,8599.2,1899.7999999999993,1.0
Toyota,Land Cruiser Base,Gasoline,26500.0,10,0.8,200,21400.0,5100.0,0.0
Nissan,GT-R Premium,Gasoline,114000.0,10,0.8,200,91400.0,22600.0,0.0
Audi,Q7 45 Premium Plus,Gasoline,36499.0,10,0.8,200,29399.2,7099.799999999999,1.0
Lexus,LX 470 Base,Gasoline,25000.0,9,0.8,200,20200.0,4800.0,0.0
Ford,Escape Limited,Gasoline,7000.0,10,0.8,200,5800.0,1200.0,1.0
Lexus,LS 460 L,Gasoline,30000.0,8,0.8,200,24200.0,5800.0,0.0
Ford,Expedition Platinum,Gasoline,45500.0,9,0.8,200,36600.0,8900.0,0.0
Chevrolet,Malibu LTZ,Gasoline,8950.0,10,0.8,200,7360.0,1590.0,0.0
Audi,A5 2.0T Premium Plus,Gasoline,17000.0,8,0.8,200,13800.0,3200.0,0.0
Genesis,G70 2.0T,Gasoline,42850.0,10,0.8,200,34480.0,8370.0,1.0
Scion,tC Base,Gasoline,7100.0,10,0.8,200,5880.0,1220.0,1.0
Lincoln,MKZ Hybrid Base,Hybrid,15500.0,9,0.65,120,10195.0,5305.0,0.0
Ford,Transit-350 XL,E85 Flex Fuel,43000.0,8,0.7,150,30249.999999999996,12750.000000000004,0.0
Porsche,911 GT2 RS,Gasoline,417500.0,8,0.8,200,334200.0,83300.0,0.0
Volvo,XC90 3.2,Gasoline,11500.0,8,0.8,200,9400.0,2100.0,1.0
Chevrolet,Avalanche LTZ,E85 Flex Fuel,27499.0,10,0.7,150,19399.3,8099.700000000001,1.0
Audi,TT RS 2.5T,Gasoline,76000.0,8,0.8,200,61000.0,15000.0,0.0
Lincoln,Navigator L,Gasoline,10900.0,10,0.8,200,8920.0,1980.0,0.0
Hyundai,Elantra GLS,Gasoline,6250.0,9,0.8,200,5200.0,1050.0,1.0
Audi,SQ5 3.0T Premium Plus,Gasoline,24700.0,10,0.8,200,19960.0,4740.0,1.0
Mitsubishi,Lancer Evolution GSR,Gasoline,34999.0,9,0.8,200,28199.2,6799.799999999999,0.0
Mercedes-Benz,Maybach S S 600,Gasoline,63500.0,9,0.8,200,51000.0,12500.0,1.0
Nissan,GT-R Premium,Gasoline,149500.0,9,0.8,200,119800.0,29700.0,0.0
Mazda,CX-9 Grand Touring,Gasoline,32541.0,10,0.8,200,26232.800000000003,6308.199999999997,1.0
Ford,Expedition Max Limited,Gasoline,65900.0,8,0.8,200,52920.0,12980.0,1.0
Nissan,Titan XD SV,Gasoline,47214.0,10,0.8,200,37971.200000000004,9242.799999999996,0.0
Lexus,LX 570 Three-Row,Gasoline,76900.0,9,0.8,200,61720.0,15180.0,1.0
Chevrolet,Traverse Premier,Gasoline,35800.0,10,0.8,200,28840.0,6960.0,0.0
Mercedes-Benz,Sprinter High Roof,Diesel,54999.0,9,0.95,500,52749.049999999996,2249.9500000000044,1.0
BMW,X5 3.0i,Gasoline,6730.0,10,0.8,200,5584.0,1146.0,0.0
Ford,Fusion SE,Gasoline,14950.0,8,0.8,200,12160.0,2790.0,0.0
Lincoln,MKZ Base,Gasoline,12000.0,10,0.8,200,9800.0,2200.0,0.0
Genesis,G90 5.0 Ultimate,Gasoline,33600.0,8,0.8,200,27080.0,6520.0,1.0
Saturn,Sky Base,Gasoline,18500.0,10,0.8,200,15000.0,3500.0,1.0
Mercedes-Benz,SL-Class SL 550,Gasoline,36000.0,8,0.8,200,29000.0,7000.0,1.0
Porsche,911 Carrera C2S,Gasoline,63500.0,8,0.8,200,51000.0,12500.0,0.0
Mercedes-Benz,AMG GLA 45 Base 4MATIC,Gasoline,32000.0,8,0.8,200,25800.0,6200.0,1.0
Ford,Taurus X Limited,Gasoline,3900.0,9,0.8,200,3320.0,580.0,1.0
BMW,440 Gran Coupe i,Gasoline,31750.0,10,0.8,200,25600.0,6150.0,0.0
Honda,S2000 CR,Gasoline,28500.0,8,0.8,200,23000.0,5500.0,0.0
Ford,Excursion Limited,Gasoline,12749.0,10,0.8,200,10399.2,2349.7999999999993,1.0
Mercedes-Benz,SL-Class SL500 Roadster,Gasoline,18853.0,9,0.8,200,15282.400000000001,3570.5999999999985,1.0
Mercedes-Benz,CLS-Class CLS 550,Gasoline,104999.0,10,0.8,200,84199.20000000001,20799.79999999999,1.0
INFINITI,G35 Sport,Gasoline,16900.0,10,0.8,200,13720.0,3180.0,0.0
Volkswagen,Golf GTI 2.0T S 4-Door,Gasoline,14500.0,8,0.8,200,11800.0,2700.0,0.0
Lincoln,Navigator L Reserve,Gasoline,47999.0,9,0.8,200,38599.200000000004,9399.799999999996,1.0
Mercedes-Benz,AMG G 63 Base,Gasoline,108900.0,9,0.8,200,87320.0,21580.0,1.0
Volkswagen,Routan SE,Gasoline,5000.0,10,0.8,200,4200.0,800.0,1.0
Bugatti,Veyron 16.4 Grand Sport,Gasoline,1950995.0,8,0.8,200,1560996.0,389999.0,1.0
Land,Rover Range Rover Supercharged,Gasoline,9900.0,8,0.8,200,8120.0,1780.0,1.0
Acura,ILX 2.0L w/Premium Package,Gasoline,14500.0,10,0.8,200,11800.0,2700.0,0.0
BMW,X6 sDrive35i,Gasoline,35000.0,9,0.8,200,28200.0,6800.0,0.0
Porsche,Cayman S,Gasoline,49750.0,9,0.8,200,40000.0,9750.0,1.0
Lincoln,Corsair Grand Touring,Plug-In Hybrid,49000.0,9,0.95,50,46600.0,2400.0,0.0
Cadillac,DTS Luxury II,Gasoline,10500.0,8,0.8,200,8600.0,1900.0,0.0
Cadillac,ATS 3.6L Luxury,Gasoline,17999.0,9,0.8,200,14599.2,3399.7999999999993,0.0
GMC,Sierra 1500 SLT,Gasoline,27995.0,8,0.8,200,22596.0,5399.0,0.0
INFINITI,G37 x,Gasoline,8750.0,8,0.8,200,7200.0,1550.0,1.0
Ford,Transit-350 XLT,Gasoline,78499.0,8,0.8,200,62999.200000000004,15499.799999999996,0.0
Cadillac,XTS Luxury,Gasoline,20850.0,10,0.8,200,16880.0,3970.0,1.0
Nissan,NV Passenger NV3500 HD SL V8,Gasoline,41000.0,9,0.8,200,33000.0,8000.0,1.0
Mercedes-Benz,GLS 450 Base 4MATIC,Gasoline,53800.0,9,0.8,200,43240.0,10560.0,1.0
Toyota,Land Cruiser Base,Gasoline,37900.0,8,0.8,200,30520.0,7380.0,0.0
Toyota,Land Cruiser Base,Gasoline,63500.0,9,0.8,200,51000.0,12500.0,1.0
RAM,ProMaster 2500 Window Van High Roof,Gasoline,65000.0,10,0.8,200,52200.0,12800.0,0.0
Lamborghini,Gallardo Base,Gasoline,100000.0,9,0.8,200,80200.0,19800.0,0.0
Lincoln,MKZ Base,Gasoline,8995.0,9,0.8,200,7396.0,1599.0,0.0
Lamborghini,Urus Base,Gasoline,257000.0,10,0.8,200,205800.0,51200.0,0.0
INFINITI,G37 x,Gasoline,15000.0,9,0.8,200,12200.0,2800.0,1.0
Maserati,Levante S,Gasoline,33950.0,10,0.8,200,27360.0,6590.0,0.0
Ford,Shelby GT500 Base,Gasoline,94999.0,10,0.8,200,76199.2,18799.800000000003,1.0
Lincoln,Navigator L Reserve,Gasoline,46995.0,8,0.8,200,37796.0,9199.0,0.0
RAM,1500 Laramie,Gasoline,47995.0,8,0.8,200,38596.0,9399.0,1.0
Lincoln,Town Car Base,Gasoline,14900.0,9,0.8,200,12120.0,2780.0,1.0
Honda,CR-V EX,Gasoline,3900.0,10,0.8,200,3320.0,580.0,0.0
Mercedes-Benz,E-Class E 550,Gasoline,26000.0,8,0.8,200,21000.0,5000.0,0.0
Mazda,MX-5 Miata Grand Touring,Gasoline,11000.0,9,0.8,200,9000.0,2000.0,1.0
Porsche,718 Boxster Base,Gasoline,63000.0,8,0.8,200,50600.0,12400.0,0.0
Ford,Transit-350 XLT,Gasoline,22500.0,8,0.8,200,18200.0,4300.0,1.0
Kia,Sportage SX Turbo,Gasoline,18688.0,10,0.8,200,15150.400000000001,3537.5999999999985,1.0
INFINITI,G37 S Sport,Gasoline,16500.0,8,0.8,200,13400.0,3100.0,0.0
Nissan,Titan XD S,Gasoline,27900.0,9,0.8,200,22520.0,5380.0,1.0
Audi,S7 2.9T Prestige,Hybrid,77500.0,9,0.65,120,50495.0,27005.0,0.0
Ford,Transit-350 XLT,Diesel,68000.0,9,0.95,500,65100.0,2900.0,0.0
INFINITI,Q70 3.7,Gasoline,19995.0,8,0.8,200,16196.0,3799.0,0.0
Jeep,Gladiator Rubicon,Gasoline,54000.0,10,0.8,200,43400.0,10600.0,0.0
Lincoln,MKX Base,Gasoline,5900.0,9,0.8,200,4920.0,980.0,0.0
Porsche,911 Carrera 4S,Gasoline,134999.0,9,0.8,200,108199.20000000001,26799.79999999999,1.0
Mercedes-Benz,AMG C 43 Base 4MATIC,Gasoline,34250.0,10,0.8,200,27600.0,6650.0,1.0
Porsche,Cayman Base,Gasoline,37000.0,9,0.8,200,29800.0,7200.0,0.0
Acura,MDX 3.7L Advance,Gasoline,12000.0,10,0.8,200,9800.0,2200.0,1.0
Volkswagen,Golf R 4-Door w/DCC & Navigation,Gasoline,32000.0,8,0.8,200,25800.0,6200.0,0.0
Kia,Forte GT-Line,Gasoline,24500.0,9,0.8,200,19800.0,4700.0,0.0
BMW,i8 Base,Plug-In Hybrid,86999.0,8,0.95,50,82699.05,4299.949999999997,0.0
Porsche,Cayenne Platinum Edition,Gasoline,43550.0,8,0.8,200,35040.0,8510.0,0.0
Lincoln,MKZ Reserve,Gasoline,27500.0,9,0.8,200,22200.0,5300.0,1.0
Porsche,718 Cayman S,Gasoline,69000.0,8,0.8,200,55400.0,13600.0,1.0
Chevrolet,Corvette Base,Gasoline,16000.0,10,0.8,200,13000.0,3000.0,1.0
Acura,RSX Type S,Gasoline,8500.0,10,0.8,200,7000.0,1500.0,1.0
Ferrari,Roma Base,Gasoline,275000.0,9,0.8,200,220200.0,54800.0,0.0
Porsche,Cayman S,Gasoline,45000.0,8,0.8,200,36200.0,8800.0,0.0
Rolls-Royce,Phantom Drophead Coupe Drophead,Gasoline,488880.0,8,0.8,200,391304.0,97576.0,0.0
Mercedes-Benz,AMG GLS 63 4MATIC,Hybrid,144664.0,8,0.65,120,94151.6,50512.399999999994,0.0
Honda,Ridgeline RTL-E,Gasoline,38500.0,9,0.8,200,31000.0,7500.0,0.0
Mercedes-Benz,CLK-Class 500 Cabriolet,Gasoline,12995.0,10,0.8,200,10596.0,2399.0,0.0
Lexus,GX 470 Base,Gasoline,10000.0,9,0.8,200,8200.0,1800.0,0.0
Lexus,NX 200t Base,Gasoline,27000.0,10,0.8,200,21800.0,5200.0,0.0
Dodge,Dakota SLT Quad Cab,Gasoline,6000.0,10,0.8,200,5000.0,1000.0,1.0
Maserati,Ghibli S Q4 GranSport,Gasoline,52645.0,9,0.8,200,42316.0,10329.0,0.0
Aston,Martin DBX Base,Gasoline,159500.0,8,0.8,200,127800.0,31700.0,0.0
Ford,Explorer XLT,Gasoline,28616.0,8,0.8,200,23092.800000000003,5523.199999999997,1.0
Mercedes-Benz,AMG GLC 63 Base 4MATIC,Gasoline,46900.0,9,0.8,200,37720.0,9180.0,0.0
Subaru,BRZ Premium,Gasoline,29990.0,10,0.8,200,24192.0,5798.0,0.0
BMW,640 i,Gasoline,28499.0,10,0.8,200,22999.2,5499.799999999999,0.0
Kia,Stinger GT2,Gasoline,36500.0,9,0.8,200,29400.0,7100.0,1.0
Subaru,Forester 2.5 XT,Gasoline,9999.0,10,0.8,200,8199.2,1799.7999999999993,1.0
BMW,M4 Base,Gasoline,40500.0,9,0.8,200,32600.0,7900.0,0.0
Hyundai,Equus Signature,Gasoline,17500.0,10,0.8,200,14200.0,3300.0,1.0
BMW,M550 i xDrive,Gasoline,53000.0,10,0.8,200,42600.0,10400.0,0.0
Subaru,Impreza WRX STI,Gasoline,30000.0,8,0.8,200,24200.0,5800.0,0.0
Hyundai,Veloster Base,Gasoline,9800.0,8,0.8,200,8040.0,1760.0,1.0
Bentley,Bentayga S,Gasoline,239995.0,10,0.8,200,192196.0,47799.0,1.0
Maserati,GranTurismo Sport,Gasoline,41900.0,10,0.8,200,33720.0,8180.0,1.0
INFINITI,M56 Base,Gasoline,8500.0,9,0.8,200,7000.0,1500.0,0.0
Chevrolet,Corvette Stingray w/1LT,Gasoline,73900.0,9,0.8,200,59320.0,14580.0,1.0
Lexus,GX 460 Base,Gasoline,38000.0,9,0.8,200,30600.0,7400.0,1.0
BMW,X1 sDrive28i,Gasoline,10795.0,9,0.8,200,8836.0,1959.0,0.0
Alfa,Romeo Stelvio Ti,Gasoline,32400.0,9,0.8,200,26120.0,6280.0,0.0
RAM,1500 Big Horn,Gasoline,34000.0,8,0.8,200,27400.0,6600.0,0.0
BMW,M4 Base,Gasoline,53000.0,8,0.8,200,42600.0,10400.0,1.0
Volvo,S90 T5 Momentum,Gasoline,18000.0,10,0.8,200,14600.0,3400.0,0.0
Subaru,Impreza WRX Sti,Gasoline,19500.0,9,0.8,200,15800.0,3700.0,1.0
Cadillac,CTS 2.0L Turbo Luxury,Gasoline,11000.0,8,0.8,200,9000.0,2000.0,0.0
Genesis,G90 5.0 Ultimate,Gasoline,27500.0,8,0.8,200,22200.0,5300.0,1.0
Mercedes-Benz,CLK-Class CLK 350,Gasoline,18000.0,10,0.8,200,14600.0,3400.0,0.0
BMW,X1 xDrive28i,Gasoline,29500.0,10,0.8,200,23800.0,5700.0,1.0
Audi,R8 5.2,Gasoline,102000.0,10,0.8,200,81800.0,20200.0,1.0
Audi,S3 2.0T Tech Premium Plus,Gasoline,42800.0,8,0.8,200,34440.0,8360.0,0.0
Toyota,Tundra Hybrid TRD Pro,Hybrid,75500.0,8,0.65,120,49195.0,26305.0,0.0
Audi,A6 2.0T Premium Plus,Gasoline,20000.0,9,0.8,200,16200.0,3800.0,0.0
BMW,328 xi,Gasoline,8995.0,9,0.8,200,7396.0,1599.0,1.0
Audi,SQ5 3.0T Prestige,Gasoline,50000.0,10,0.8,200,40200.0,9800.0,0.0
BMW,M235 i,Gasoline,17200.0,8,0.8,200,13960.0,3240.0,0.0
Chevrolet,Express 3500 Base,Gasoline,22000.0,9,0.8,200,17800.0,4200.0,1.0
GMC,Acadia SLE,Gasoline,27654.0,9,0.8,200,22323.2,5330.799999999999,1.0
Audi,TT 2.0T,Gasoline,14000.0,10,0.8,200,11400.0,2600.0,1.0
Subaru,Outback 3.6R Touring,Gasoline,20500.0,8,0.8,200,16600.0,3900.0,1.0
Mitsubishi,Eclipse Spyder GS,Gasoline,4495.0,10,0.8,200,3796.0,699.0,0.0
BMW,M5 Base,Gasoline,67000.0,9,0.8,200,53800.0,13200.0,1.0
Dodge,Ram 1500 ST,Gasoline,10500.0,10,0.8,200,8600.0,1900.0,1.0
Ford,Fusion Energi Titanium,Plug-In Hybrid,10000.0,8,0.95,50,9550.0,450.0,0.0
Toyota,Tundra Hybrid TRD Pro,Hybrid,71000.0,8,0.65,120,46270.0,24730.0,0.0
Land,Rover Range Rover Evoque Pure,Gasoline,17500.0,8,0.8,200,14200.0,3300.0,1.0
Lincoln,Navigator Base,E85 Flex Fuel,9750.0,9,0.7,150,6975.0,2775.0,1.0
Mercedes-Benz,Sprinter 3500 High Roof,Diesel,75000.0,8,0.95,500,71750.0,3250.0,1.0
Mercedes-Benz,AMG E 63 S 4MATIC,Gasoline,95000.0,9,0.8,200,76200.0,18800.0,1.0
BMW,440 i xDrive,Gasoline,32000.0,10,0.8,200,25800.0,6200.0,1.0
Acura,Integra LS,Gasoline,5500.0,8,0.8,200,4600.0,900.0,1.0
Audi,Q7 55 Prestige,Gasoline,36340.0,9,0.8,200,29272.0,7068.0,0.0
BMW,M6 Base,Gasoline,40999.0,10,0.8,200,32999.200000000004,7999.799999999996,0.0
